trial	pos	neg	shrink_steps	seed	wall_ms	rank_ochiai	rank_tarantula	rank_dstar	rank_jaccard	rank_op2	rank_delta	best_ochiai	best_region
1	97	4	35	(["mn", "12", "123", "wx"], "wx")	6893	193	193	193	193	193	194	0.2696	1098:21-1098:39
2	97	4	40	(["ab", "abc", "wx", "12"], "12")	5366	192	192	192	192	192	232	0.25	1098:21-1098:39
3	93	8	17	(["12", "123", "ab", "pq"], "ab")	4934	193	193	193	193	193	232	0.3508	1098:21-1098:39
4	95	6	19	(["12", "123", "pq", "ab"], "ab")	4986	192	192	192	192	192	233	0.3015	1098:21-1098:39
5	97	4	22	(["mn", "mno", "ab", "wx"], "ab")	4655	191	191	191	191	191	232	0.25	1098:21-1098:39
6	99	2	22	(["12", "123", "mn", "wx"], "mn")	4452	191	191	191	191	191	194	0.1856	1098:21-1098:39
7	92	9	32	(["pq", "pqr", "wx", "12"], "12")	4519	191	191	191	191	191	205	0.4120	1098:21-1098:39
8	100	1	23	(["wx", "wxy", "pq", "12"], "pq")	4500	191	191	191	191	191	205	0.1270	1098:21-1098:39
9	100	1	34	(["pqr", "pqrs", "pq", "mn", "12"], "pq")	4587	201	201	201	201	201	218	0.1195	1098:21-1098:39
10	94	7	20	(["12", "123", "ab", "mn"], "ab")	4812	191	191	191	191	191	416	0.3185	1098:21-1098:39
