trial	pos	neg	shrink_steps	seed	wall_ms	rank_ochiai	rank_tarantula	rank_dstar	rank_jaccard	rank_op2	rank_delta	best_ochiai	best_region
1	954	47	24	(["wx", "pq", "wxy", "ab"], "ab")	42540	191	191	191	191	191	205	0.2729	1098:21-1098:39
2	957	44	13	(["mnopxy", "mnopxyy", "pq", "ab"], "ab")	45153	191	191	191	191	191	36	0.2846	1098:21-1098:39
3	980	21	27	(["ab", "12", "123", "mn"], "mn")	43489	191	191	191	191	191	194	0.1902	1098:21-1098:39
4	948	53	29	(["mn", "mno", "wx", "ab"], "ab")	44169	191	191	191	191	191	202	0.3070	1098:21-1098:39
5	956	45	45	(["pq", "pqr", "wx", "ab"], "ab")	52346	191	191	191	191	191	205	0.2707	1098:21-1098:39
6	991	10	26	(["12", "123", "mn", "wx"], "mn")	45591	191	191	191	191	191	194	0.1314	1098:21-1098:39
7	984	17	34	(["12", "123", "wx", "pq"], "pq")	42781	191	191	191	191	191	194	0.1697	1098:21-1098:39
8	962	39	34	(["mn", "mno", "12", "ab"], "ab")	42891	191	191	191	191	191	205	0.2613	1098:21-1098:39
9	948	53	31	(["12", "123", "pq", "ab"], "ab")	43208	191	191	191	191	191	232	0.2945	1098:21-1098:39
10	968	33	27	(["mn", "mno", "12", "ab"], "12")	44208	191	191	191	191	191	197	0.2325	1098:21-1098:39
