trial	pos	neg	shrink_steps	seed	wall_ms	rank_ochiai	rank_tarantula	rank_dstar	rank_jaccard	rank_op2	rank_delta	best_ochiai	best_region
1	892	109	26	(["pq", "pqr", "mn", "12"], "mn")	41656	191	191	191	191	191	210	0.3912	1098:21-1098:39
2	909	92	20	(["mnopxb", "mnopxbc", "12", "pq"], "pq")	43324	191	191	191	191	191	62	0.3599	1098:21-1098:39
3	853	148	30	(["mn", "mno", "wx", "12"], "12")	41367	191	191	191	191	191	195	0.4536	1098:21-1098:39
4	821	180	32	(["mn", "mno", "wx", "ab"], "ab")	41013	191	191	191	191	191	195	0.4972	1098:21-1098:39
5	871	130	17	(["12", "123", "wx", "mn"], "mn")	42962	191	191	191	191	191	405	0.4191	1098:21-1098:39
6	843	158	33	(["wx", "wxy", "12", "mn"], "12")	41512	191	191	191	191	191	408	0.4556	1098:21-1098:39
7	851	150	32	(["ab", "abc", "wx", "12"], "wx")	41619	192	192	192	192	192	426	0.4428	1098:21-1098:39
8	821	180	23	(["12", "123", "ab", "mn"], "ab")	41548	191	191	191	191	191	233	0.4972	1098:21-1098:39
9	855	146	23	(["ab", "abc", "pq", "12"], "12")	41614	192	192	192	192	192	343	0.4415	1098:21-1098:39
10	853	148	31	(["pq", "pqr", "12", "mn"], "12")	41046	191	191	191	191	191	233	0.4460	1098:21-1098:39
