trial	pos	neg	mut_pass	mut_fail	init_passes	wall_ms	rank_ochiai	rank_tarantula	rank_dstar	rank_jaccard	rank_op2	rank_delta	best_ochiai	best_region
1	87	19	82	18	5	5174	375	398	375	380	371	29	0.4233	1118:38-1120:18
2	57	52	49	51	8	4691	2	12	2	2	2	224	0.8113	1098:21-1098:39
3	63	44	57	43	6	4661	459	478	459	468	459	56	0.6412	1118:38-1120:18
4	78	25	76	24	2	4485	203	203	203	203	203	33	0.6154	1098:21-1098:39
5	126	24	77	23	49	6636	214	220	214	214	214	447	0.4399	1098:21-1098:39
6	77	34	67	33	10	5111	388	405	388	399	375	30	0.5534	1118:38-1120:18
7	66	39	62	38	4	4533	2	8	2	2	2	183	0.7995	1098:21-1098:39
8	66	39	62	38	4	4506	150	150	150	150	150	21	0.7259	1098:21-1098:39
9	70	32	69	31	1	4263	207	207	207	207	207	398	0.6324	1098:21-1098:39
10	68	34	67	33	1	4794	149	150	149	149	149	10	0.7177	1098:21-1098:39
