trial	pos	neg	mut_pass	mut_fail	wall_ms	rank_ochiai	rank_tarantula	rank_dstar	rank_jaccard	rank_op2	rank_delta	best_ochiai	best_region
1	57	44	57	43	4623	1042	1076	1042	1051	998	453	0.6600	1136:13-1136:14
2	50	51	50	50	4604	595	632	595	595	589	76	0.7105	1118:38-1120:18
3	39	62	39	61	4681	2	3	2	2	2	30	0.9032	1098:21-1098:39
4	60	41	60	40	4519	203	203	203	203	203	21	0.7393	1098:21-1098:39
5	62	39	62	38	4536	149	149	149	149	149	36	0.7411	1098:21-1098:39
6	55	46	55	45	4366	149	150	149	149	149	15	0.7993	1098:21-1098:39
7	70	31	70	30	4726	359	376	359	369	347	22	0.5540	1118:38-1120:18
8	78	23	78	22	4566	220	220	220	220	220	30	0.5613	1098:21-1098:39
9	32	69	32	68	4561	2	2	2	2	2	7	0.9405	1098:21-1098:39
10	60	41	60	40	4618	204	224	204	204	204	24	0.7297	1098:21-1098:39
