trial	pos	neg	fail_rate	wall_ms	rank_ochiai	rank_tarantula	rank_dstar	rank_jaccard	rank_op2	rank_delta	best_ochiai	best_region
1	0	101	100.0	3200	75	75	75	75	75	75	1.0	46:1-46:2
2	0	101	100.0	2889	75	75	75	75	75	75	1.0	46:1-46:2
3	0	101	100.0	2802	75	75	75	75	75	75	1.0	46:1-46:2
4	0	101	100.0	2833	75	75	75	75	75	75	1.0	46:1-46:2
5	0	101	100.0	2805	75	75	75	75	75	75	1.0	46:1-46:2
6	0	101	100.0	2841	75	75	75	75	75	75	1.0	46:1-46:2
7	0	101	100.0	2843	75	75	75	75	75	75	1.0	46:1-46:2
8	0	101	100.0	2794	75	75	75	75	75	75	1.0	46:1-46:2
9	0	101	100.0	2776	75	75	75	75	75	75	1.0	46:1-46:2
10	0	101	100.0	2821	75	75	75	75	75	75	1.0	46:1-46:2
