trial	pos	neg	fail_rate	wall_ms	rank_ochiai	rank_tarantula	rank_dstar	rank_jaccard	rank_op2	rank_delta	best_ochiai	best_region
1	0	101	100.0	3042	41	41	41	41	41	1	1.0	242:1
2	0	101	100.0	2873	41	41	41	41	41	1	1.0	242:1
3	0	101	100.0	2816	41	41	41	41	41	1	1.0	242:1
4	0	101	100.0	2826	41	41	41	41	41	1	1.0	242:1
5	0	101	100.0	2798	41	41	41	41	41	1	1.0	242:1
6	0	101	100.0	2772	41	41	41	41	41	1	1.0	242:1
7	0	101	100.0	2823	41	41	41	41	41	1	1.0	242:1
8	0	101	100.0	2775	41	41	41	41	41	1	1.0	242:1
9	0	101	100.0	2816	41	41	41	41	41	1	1.0	242:1
10	0	101	100.0	2836	41	41	41	41	41	1	1.0	242:1
