trial	pos	neg	discards	fail_rate	wall_ms	rank_ochiai	rank_tarantula	rank_dstar	rank_jaccard	rank_op2	rank_delta	best_ochiai	best_region
1	0	70	31	100.0	2367	76	76	76	76	76	76	1.0	38:5
2	0	69	32	100.0	2111	76	76	76	76	76	76	1.0	38:5
3	0	65	36	100.0	1947	76	76	76	76	76	76	1.0	38:5
4	0	65	36	100.0	2023	76	76	76	76	76	76	1.0	38:5
5	0	64	37	100.0	1799	76	76	76	76	76	76	1.0	38:5
6	0	58	43	100.0	1683	76	76	76	76	76	76	1.0	38:5
7	0	71	30	100.0	2132	76	76	76	76	76	76	1.0	38:5
8	0	65	36	100.0	2039	76	76	76	76	76	76	1.0	38:5
9	0	61	40	100.0	1782	76	76	76	76	76	76	1.0	38:5
10	0	60	41	100.0	1762	76	76	76	76	76	76	1.0	38:5
