trial	seed_input	pos	neg	mut_pass	mut_fail	init_passes	wall_ms	rank_ochiai	rank_tarantula	rank_dstar	rank_jaccard	rank_op2	rank_delta	best_ochiai
1	-0.00010368232 (bits=0xb8d97006)	26	85	16	84	10	4035	3	9	3	3	3	1	0.9772697579354848
2	-0.0004518216 (bits=0xb9ece278)	52	83	18	82	34	4347	3	7	3	3	1	1	0.9767410038007759
3	-0.012918937 (bits=0xbc53a9f3)	32	82	19	81	13	3931	3	4	3	3	3	11	0.9708391914381
4	-0.29804584 (bits=0xbe989977)	44	89	12	88	32	4116	3	3	3	3	3	3	0.9782582722940951
5	-0.000030929696 (bits=0xb801ba82)	11	90	11	89	0	3014	3	11	3	3	3	1	0.9890707100936805
6	-0.000015918084 (bits=0xb78587d3)	32	75	26	74	6	3257	3	3	3	3	3	1	0.9505863757867169
7	-0.00026525668 (bits=0xb98b1226)	22	82	19	81	3	3263	3	6	3	3	3	1	0.9821944218702023
8	-0.0000011078636 (bits=0xb594b1e7)	30	79	22	78	8	3343	3	8	3	3	3	1	0.9875771574795099
9	-0.05894387 (bits=0xbd716f21)	25	88	13	87	12	3395	3	9	3	3	1	3	0.9888264649460884
10	-0.002794979 (bits=0xbb372bf7)	15	89	12	88	3	3141	3	3	3	3	3	1	0.9889499370655616
