workload	property	short_name	kind_arg	extra_features
arrayvec	ExtendPanicsOnOverflow	extend_silent_truncate	marauders:extend_silent_truncate_a554ea2_1	etna
arrayvec	InsertAtLengthSucceeds	insert_bound_off_by_one	marauders:insert_bound_off_by_one_2a1378d_1	etna
arroy	BqLenMatchesIter	bq_len_bits_vs_bytes	patch:patches/bq_len_bits_vs_bytes_facc857_1.patch	
arroy	CosineDistanceInUnit	cosine_distance_no_clamp	patch:patches/cosine_distance_no_clamp_6a09118_1.patch	
arroy	BqEuclidSelfDistanceZero	bq_euclid_self_distance_or_not_xor	patch:patches/bq_euclid_self_distance_or_not_xor_47fd2bd_1.patch	
bitvec-rs	SplitAtMutAcceptsLen	split_at_mut_rejects_len	patch:patches/split_at_mut_rejects_len_c71ea23_1.patch	
bitvec-rs	VecInsertAcceptsEnd	vec_insert_rejects_end	patch:patches/vec_insert_rejects_end_8e48751_1.patch	
bitvec-rs	LeadingTrailingFallback	leading_trailing_homogeneous	patch:patches/leading_trailing_homogeneous_b08c4bd_1.patch	
bitvec-rs	BitvecPartialCmpMatches	bitvec_partial_cmp_reversed	patch:patches/bitvec_partial_cmp_reversed_f3d5b43_1.patch	
bitvec-rs	CloneFromBitsliceCopiesSrc	clone_from_bitslice_src_bug	patch:patches/clone_from_bitslice_src_bug_935cad8_1.patch	
bitvec-rs	OctalFmtNoPanic	octal_fmt_buffer_size	patch:patches/octal_fmt_buffer_size_aeef0be_1.patch	
bstr	SplitnBounded	splitn_trailing_empty	patch:patches/splitn_trailing_empty_aed424a_1.patch	
bstr	CowPartialeqBstr	cow_partialeq_self_compare	patch:patches/cow_partialeq_self_compare_b2111b6_1.patch	
bstr	DebugValidFffdPreserved	debug_fffd_not_escaped	patch:patches/debug_fffd_not_escaped_eafb495_1.patch	
bstr	DebugAsciiControlHex	debug_control_chars_x1a	patch:patches/debug_control_chars_x1a_732fc99_1.patch	
bstr	DebugHexLowercase	debug_hex_uppercase	patch:patches/debug_hex_uppercase_af99a6e_1.patch	
buf-list	ReadExactPosOnEof	read_exact_pos_on_eof	patch:patches/read_exact_pos_on_eof_b58396d_1.patch	
bytes	GetIntZeroNbytes	sign_extend_zero_nbytes	patch:patches/sign_extend_zero_nbytes_acd1e0f_1.patch	etna
bytes	GetIntSignExtension	get_int_sign_extension	patch:patches/get_int_sign_extension_79fb853_1.patch	etna
bytes	ChainRemainingSaturating	chain_remaining_saturating	patch:patches/chain_remaining_saturating_2428c15_1.patch	etna
bytes	PartialordBytesReversed	partialord_bytes_reversed	patch:patches/partialord_bytes_reversed_939a5ed_1.patch	etna
bytes	SliceRefEmpty	slice_ref_empty	patch:patches/slice_ref_empty_f330ef6_1.patch	etna
crc32fast	CombineZeroLengthIdentity	combine_zero_length_identity	marauders:combine_zero_length_identity_724ceb6_1	etna
encoding_rs	ShortBufferEncodeNoPanic	ncr_short_buffer_panic	patch:patches/ncr_short_buffer_panic_234bf08_1.patch	
encoding_rs	ShortBufferEncodeUtf16NoPanic	encode_utf16_ncr_spill_panic	patch:patches/encode_utf16_ncr_spill_panic_d894e27_1.patch	
fast-float2	DecimalRoundtripF64	decimal_trailing_zeros	marauders:decimal_trailing_zeros_56ac048_1	
half	F16MaxMinNan	max_min_nan_handling	marauders:max_min_nan_handling_a61f31b_1	faultloc
half	F16OrdSignMagnitude	partial_cmp_sign_magnitude	patch:patches/partial_cmp_sign_magnitude_22b5bd6_1.patch	faultloc
half	F16SubnormalRoundtrip	subnormal_conversion	patch:patches/subnormal_conversion_18e6467_1.patch	faultloc
hashbrown	RehashPanicLength	rehash_panic_length	patch:patches/rehash_panic_length_6cb0eb5_1.patch	etna
hex	FromHexRejectsWhitespace	from_hex_accepts_whitespace	marauders:from_hex_accepts_whitespace_71c83f2_1	etna
hex	InvalidCharErrorDisplayEscaped	invalid_char_display_raw	marauders:invalid_char_display_raw_764ee61_1	etna
httparse	ChunkSizeMatchesOracle	chunk_size_overflow	patch:patches/chunk_size_overflow_34efc1e_1.patch	
httparse	RequestMethodIsValid	method_leading_space	patch:patches/method_leading_space_9f6702b_1.patch	
httparse	RequestMethodIsValid	invalid_token_delim	patch:patches/invalid_token_delim_498de3f_1.patch	
httparse	RequestHeaderValuePreserves	header_value_htab	patch:patches/header_value_htab_59a9fd1_1.patch	
httparse	RequestPathPreserves	backslash_in_uri	patch:patches/backslash_in_uri_1a791f4_1.patch	
httparse	ResponseHeaderNamesAreTokens	response_no_reason	patch:patches/response_no_reason_c0631f2_1.patch	
im-rs	PathNextBacktrack	path_next_backtrack	patch:patches/path_next_backtrack_41d99725_1.patch	
im-rs	RangeOffByOne	range_off_by_one	patch:patches/range_off_by_one_3f4e01a4_1.patch	
im-rs	RrbDebugPop	rrb_debug_pop	patch:patches/rrb_debug_pop_1209e823_1.patch	
im-rs	RrbDensityCheck	rrb_density_check	patch:patches/rrb_density_check_cb431a6_1.patch	
im-rs	PtrEqPrecedence	ptr_eq_precedence	patch:patches/ptr_eq_precedence_f744912_1.patch	
im-rs	EqSingleChunk	eq_single_chunk	patch:patches/eq_single_chunk_005193a_1.patch	
indexmap	ReversePreservesLookup	reverse_indices_offbyone	patch:patches/reverse_indices_offbyone_a442475_1.patch	
itertools	MergeJoinSizeHintOverflow	merge_join_size_hint_overflow	patch:patches/merge_join_size_hint_overflow_9f41c18_1.patch	etna
itertools	CombinationsZero	combinations_zero_empty	patch:patches/combinations_zero_empty_13aa10e_1.patch	etna
